ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_metadesc
,simple,F03170,UV Joiner T Profile Aluminium Silver - 3M,1,,visible,,,,,taxable,,1,74,3,0,0,,,,,1,,,45.0,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03171,UV Joiner T Profile Aluminium Black - 3M,1,,visible,,,,,taxable,,1,159,3,0,0,,,,,1,,,45.0,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03172,UV Joiner T Profile Aluminium Rose Gold - 3M,1,,visible,,,,,taxable,,1,195,3,0,0,,,,,1,,,45.0,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03085,Stainless Steel Indoor Wall Panels Strips & Edging 2CM x 3M Gold,1,,visible,,,,,taxable,,1,7,3,0,0,,,,,1,,,112.62,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03086,Stainless Steel Indoor Wall Panels Strips & Edging 2CM x 3M Rose Gold,1,,visible,,,,,taxable,,1,154,3,0,0,,,,,1,,,112.62,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03087,Stainless Steel Indoor Wall Panels Strips & Edging 3CM x 3M Gold,1,,visible,,,,,taxable,,1,177,3,0,0,,,,,1,,,128.72,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03084,Stainless Steel Indoor Wall Panels Strips & Edging 3CM x 3M Rose Gold,1,,visible,,,,,taxable,,1,252,3,0,0,,,,,1,,,128.72,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03191,Mosaics - Stick On Steel Mosaic,1,,visible,,,,,taxable,,1,515,3,0,0,,,,,1,,,43.39,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03192,Mosaics - Stick On Steel Mosaic,1,,visible,,,,,taxable,,1,343,3,0,0,,,,,1,,,43.39,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03194,Mosaics - Stick On Steel Mosaic,1,,visible,,,,,taxable,,1,266,3,0,0,,,,,1,,,43.39,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03193,Create Your Own Design Mosaic,1,,visible,,,,,taxable,,1,544,3,0,0,,,,,1,,,62.71,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03178,Create Your Own Design Mosaic,1,,visible,,,,,taxable,,1,435,3,0,0,,,,,1,,,62.71,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03189,Create Your Own Design Mosaic,1,,visible,,,,,taxable,,1,436,3,0,0,,,,,1,,,62.71,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03190,Create Your Own Design Mosaic,1,,visible,,,,,taxable,,1,283,3,0,0,,,,,1,,,62.71,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03196,Create Your Own Design Mosaic,1,,visible,,,,,taxable,,1,555,3,0,0,,,,,1,,,62.71,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03195,Create Your Own Design Mosaic,1,,visible,,,,,taxable,,1,374,3,0,0,,,,,1,,,75.59,"All Products, Hardware, Hardware > Building Materials",,,,,,,,,,,,,Impulse,,,,,
,simple,F03185,Bevelled Mirror 23cm*20cm,1,,visible,,,,,taxable,,1,42,3,0,0,,,,,1,,,32.12,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03187,Mirror Mosaics Stick On - Bevelled,1,,visible,,,,,taxable,,1,1,3,0,0,,,,,1,,,96.52,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03179,Mirror Mosaics Stick On - Bevelled,1,,visible,,,,,taxable,,1,66,3,0,0,,,,,1,,,80.42,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03181,Mirror Mosaics Stick On - Bevelled,1,,visible,,,,,taxable,,1,3,3,0,0,,,,,1,,,120.19,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03184,Mirror Mosaics Stick On - Bevelled,1,,visible,,,,,taxable,,1,9,3,0,0,,,,,1,,,120.19,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03354,WPC 3D Single Flute 22mm x 22mm x 2900mm Barcelona Nero,1,,visible,,,,,taxable,,1,898,3,0,0,,,,,1,,,96.52,"All Products, Hardware",,,,,,,,,,,,,Barcelona,,,,,
,simple,F03355,WPC 3D Single Flute 22mm x 22mm x 2900mm Barcelona Wenge,1,,visible,,,,,taxable,,1,747,3,0,0,,,,,1,,,96.52,"All Products, Hardware",,,,,,,,,,,,,Barcelona,,,,,
,simple,F03357,WPC 3D Single Flute 22mm x 22mm x 2900mm Barcelona Grey,1,,visible,,,,,taxable,,1,875,3,0,0,,,,,1,,,96.52,"All Products, Hardware",,,,,,,,,,,,,Barcelona,,,,,
,simple,F03358,WPC 3D Single Flute 22mm x 22mm x 2900mm Barcelona Marble,1,,visible,,,,,taxable,,1,497,3,0,0,,,,,1,,,96.52,"All Products, Hardware",,,,,,,,,,,,,Barcelona,,,,,
,simple,F03356,WPC 3D Single Flute 22mm x 22mm x 2900mm Barcelona Teak,1,,visible,,,,,taxable,,1,806,3,0,0,,,,,1,,,96.52,"All Products, Hardware",,,,,,,,,,,,,Barcelona,,,,,
,simple,F03366,WPC 3D Single Flute 22mm x 22mm x 2900mm Barcelona Matt White,1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,96.52,"All Products, Homeware, Homeware > Decor",,,,,,,,,,,,,Barcelona,,,,,
,simple,F03359,WPC 3D Single Flute 22mm x 22mm x 2900mm Barcelona Rustic,1,,visible,,,,,taxable,,1,539,3,0,0,,,,,1,,,96.52,"All Products, Hardware",,,,,,,,,,,,,Barcelona,,,,,
,simple,F03361,WPC 3D Single Flute 22mm x 22mm x 2900mm Barcelona Wood,1,,visible,,,,,taxable,,1,711,3,0,0,,,,,1,,,96.52,"All Products, Hardware",,,,,,,,,,,,,Barcelona,,,,,
,simple,F03447,Spotlight,1,,visible,,,,,taxable,,1,2330,3,0,0,,,,,1,,,56.27,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F02800,Adaptor 24V-100W +- 40 Lights,1,,visible,,,,,taxable,,1,180,3,0,0,,,,,1,,,265.65,"All Products, Hardware, Hardware > Electrical, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F02340,Barcelona Series Nero WPC Indoor Wall Panel,1,,visible,,,,,taxable,,1,704,3,0,0,,,,,1,,,1529.5,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F02341,Barcelona Series Wenge WPC Indoor Wall Panel,1,,visible,,,,,taxable,,1,95,3,0,0,,,,,1,,,1529.5,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F02342,Barcelona Series Teak WPC Indoor Wall Panel,1,,visible,,,,,taxable,,1,66,3,0,0,,,,,1,,,1529.5,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F02753,Barcelona Series Mahogany WPC Indoor Wall Panel,1,,visible,,,,,taxable,,1,184,3,0,0,,,,,1,,,1529.5,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F02343,Barcelona Series Grey WPC Indoor Wall Panel,1,,visible,,,,,taxable,,1,314,3,0,0,,,,,1,,,1529.5,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F02344,Barcelona Series Marble WPC Indoor Wall Panel,1,,visible,,,,,taxable,,1,277,3,0,0,,,,,1,,,1529.5,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F02752,Barcelona Series Rustic WPC Indoor Wall Panel,1,,visible,,,,,taxable,,1,85,3,0,0,,,,,1,,,1529.5,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F02862,Barcelona Series Wood WPC Indoor Wall Panel,1,,visible,,,,,taxable,,1,904,3,0,0,,,,,1,,,1529.5,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03578,Barcelona Series Brown - Black WPC Indoor Wall Panel,1,,visible,,,,,taxable,,1,1,3,0,0,,,,,1,,,1529.5,"All Products, Hardware",,,,,,,,,,,,,Impulse,,,,,
,simple,F03863,LED Strip Lights Aluminium Profile 15CM - 1.5W,1,,visible,,,,,taxable,,1,7,3,0,0,,,,,1,,,77.2,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03864,LED Strip Lights Aluminium Profile 30CM - 3W,1,,visible,,,,,taxable,,1,1,3,0,0,,,,,1,,,96.52,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03865,LED Strip Lights Aluminium Profile 45CM - 4W,1,,visible,,,,,taxable,,1,42,3,0,0,,,,,1,,,152.95,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03867,LED Strip Lights Aluminium Profile 60CM - 6W,1,,visible,,,,,taxable,,1,10,3,0,0,,,,,1,,,223.79,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03868,LED Strip Lights Aluminium Profile 75CM - 9W,1,,visible,,,,,taxable,,1,54,3,0,0,,,,,1,,,304.29,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
,simple,F03869,LED Strip Lights Aluminium Profile 90CM - 1.5W,1,,visible,,,,,taxable,,1,43,3,0,0,,,,,1,,,368.69,"All Products, Hardware, Hardware > Lighting",,,,,,,,,,,,,Impulse,,,,,
