wc_id,sku,name,type,published,supplier,regular_price,has_price,has_image,has_desc,categories,gaps
31366,iPad-Pro-13-M4-512GB,iPad Pro 13 M4 512GB WiFi Space Black (New),simple,True,unknown,31650,True,True,True,Mobile Tech & Gadgets > Laptops,
31367,S10Ultra,Samsung S10 Ultra Tab 256GB (New),simple,True,unknown,27150,True,True,True,Mobile Tech & Gadgets > Laptops,
31368,Pro9,Microsoft Surface Book Pro 9 (New),simple,True,unknown,20650,True,True,True,Mobile Tech & Gadgets > Laptops,
31369,P50,Refurbished Lenovo P50 INTEL CORE NUM PAD I7 6TH GEN Laptop,simple,True,unknown,4550,True,True,True,Mobile Tech & Gadgets > Laptops,
31370,L570,Refurbished Lenovo L570 INTEL CORE I5 6TH GEN NUM PAD Laptop,simple,True,unknown,3650,True,True,True,Mobile Tech & Gadgets > Laptops,
31371,L380,Refurbished Lenovo L380 (Touch) INTEL CORE I5 8TH GEN Laptop,simple,True,unknown,4350,True,True,True,Mobile Tech & Gadgets > Laptops,
31372,L390,Refurbished Lenovo L390 (Touch) INTEL CORE I5 8TH GEN Laptop,simple,True,unknown,4550,True,True,True,Mobile Tech & Gadgets > Laptops,
31373,T460,Refurbished Lenovo T460 INTEL CORE I7 6TH GEN Laptop,simple,True,unknown,4050,True,True,True,Mobile Tech & Gadgets > Laptops,
31374,T450,Refurbished Lenovo T450 INTEL CORE I5 5TH GEN Laptop,simple,True,unknown,3050,True,True,True,Mobile Tech & Gadgets > Laptops,
31375,T440,Refurbished Lenovo T440 INTEL CORE I5 4TH GEN Laptop,simple,True,unknown,2750,True,True,True,Mobile Tech & Gadgets > Laptops,
31376,T460S,Refurbished Lenovo T460S INTEL CORE I5 6TH GEN Laptop,simple,True,unknown,3350,True,True,True,Mobile Tech & Gadgets > Laptops,
31377,YOGA 260,Refurbished Lenovo YOGA 260 INTEL CORE I5 6TH GEN Laptop,simple,True,unknown,3350,True,True,True,Mobile Tech & Gadgets > Laptops,
31378,X1CARG5,Refurbished Lenovo X1 CARBON GEN5 INTEL CORE I7 8TH GEN Laptop,simple,True,unknown,5050,True,True,True,Mobile Tech & Gadgets > Laptops,
31379,L470,Refurbished Lenovo L470 INTEL CORE I3 6TH GEN Laptop,simple,True,unknown,3550,True,True,True,Mobile Tech & Gadgets > Laptops,
31380,T470,Refurbished Lenovo T470 INTEL CORE I5 6TH GEN Laptop,simple,True,unknown,3550,True,True,True,Mobile Tech & Gadgets > Laptops,
31381,11E,Refurbished Lenovo 11E INTEL CORE I3 6TH GEN Laptop,simple,True,unknown,3050,True,True,True,Mobile Tech & Gadgets > Laptops,
31382,V110,Refurbished Lenovo V110 INTEL CORE I6 6TH GEN NUM PAD Laptop,simple,True,unknown,3550,True,True,True,Mobile Tech & Gadgets > Laptops,
31383,X270,Refurbished Lenovo X270 INTEL CORE I5 6TH GEN Laptop,simple,True,unknown,3350,True,True,True,Mobile Tech & Gadgets > Laptops,
31384,X260,Refurbished Lenovo X260 INTEL CORE I7 6TH GEN Laptop,simple,True,unknown,3650,True,True,True,Mobile Tech & Gadgets > Laptops,
31385,X1CAR2G,Refurbished Lenovo X1 CARBON 2GEN INTEL CORE I7 6TH GEN Laptop,simple,True,unknown,4750,True,True,True,Mobile Tech & Gadgets > Laptops,
31386,T14G2,Refurbished Lenovo T14 GEN2 INTEL CORE I5 12TH GEN Laptop,simple,True,unknown,6050,True,True,True,Mobile Tech & Gadgets > Laptops,
31387,X250,Refurbished Lenovo X250 INTEL CORE I5 5TH GEN Laptop,simple,True,unknown,3050,True,True,True,Mobile Tech & Gadgets > Laptops,
31388,X240,Refurbished Lenovo X240 INTEL CORE I5 4TH GEN Laptop,simple,True,unknown,3050,True,True,True,Mobile Tech & Gadgets > Laptops,
31389,T490S,Refurbished Lenovo T490S INTEL CORE I7 8TH 32/256GB NVME Laptop,simple,True,unknown,5050,True,True,True,Mobile Tech & Gadgets > Laptops,
31390,T480S,Refurbished Lenovo T480S INTEL CORE I7 8TH GEN Laptop,simple,True,unknown,4550,True,True,True,Mobile Tech & Gadgets > Laptops,
31391,X1CARG1,Refurbished Lenovo X1 CARBON GEN1 INTEL CORE I7 5TH GEN Laptop,simple,True,unknown,4050,True,True,True,Mobile Tech & Gadgets > Laptops,
31392,T560,Refurbished Lenovo T560 INTEL CORE I5 6TH GEN NUM PAD Laptop,simple,True,unknown,4150,True,True,True,Mobile Tech & Gadgets > Laptops,
31393,L540,Refurbished Lenovo L540 INTEL CORE I5 4TH GEN NUM PAD Laptop,simple,True,unknown,3050,True,True,True,Mobile Tech & Gadgets > Laptops,
31394,A475,Refurbished Lenovo A475 AMD A12 Laptop,simple,True,unknown,2550,True,True,True,Mobile Tech & Gadgets > Laptops,
31395,W540,Refurbished Lenovo W540 INTEL CORE I5 4TH GEN NUM PAD Laptop,simple,True,unknown,3050,True,True,True,Mobile Tech & Gadgets > Laptops,
31396,T570,Refurbished Lenovo T570 INTEL CORE I5 6TH GEN NUM PAD Laptop,simple,True,unknown,3999,True,True,True,Mobile Tech & Gadgets > Laptops,
31397,L440,Refurbished Lenovo L440 INTEL CORE I3 4TH GEN Laptop,simple,True,unknown,2850,True,True,True,Mobile Tech & Gadgets > Laptops,
31398,T410,Refurbished Lenovo T410 INTEL CORE I5 1ST GEN Laptop,simple,True,unknown,2550,True,True,True,Mobile Tech & Gadgets > Laptops,
31399,X200S,"Refurbished Lenovo X200S COUR 2 DUO, 2GB 160HDD Laptop",simple,True,unknown,2300,True,True,True,Mobile Tech & Gadgets > Laptops,
31400,E5250,Refurbished Lenovo E5250 INTEL CORE I7 5TH GEN Laptop,simple,True,unknown,3800,True,True,True,Mobile Tech & Gadgets > Laptops,
31401,E7290,Refurbished Dell E7290 INTEL CORE I7 8TH GEN Laptop,simple,True,unknown,4700,True,True,True,Mobile Tech & Gadgets > Laptops,
31402,E5450,Refurbished Lenovo E5450 INTEL CORE I5 5TH GEN Laptop,simple,True,unknown,2999,True,True,True,Mobile Tech & Gadgets > Laptops,
31403,E7390T,Refurbished Dell E7390 (Touch) INTEL CORE I5 8TH GEN Laptop,simple,True,unknown,4750,True,True,True,Mobile Tech & Gadgets > Laptops,
31404,E5480,Refurbished Dell E5480 INTEL CORE I5 6TH GEN Laptop,simple,True,unknown,3600,True,True,True,Mobile Tech & Gadgets > Laptops,
31405,E7490,Refurbished Dell E7490 INTEL CORE I7 8TH GEN Laptop,simple,True,unknown,4699,True,True,True,Mobile Tech & Gadgets > Laptops,
31406,E5470,Refurbished Dell E5470 INTEL CORE I5 6TH GEN Laptop,simple,True,unknown,3550,True,True,True,Mobile Tech & Gadgets > Laptops,
31407,E5490,Refurbished Dell E5490 INTEL CORE I5 7TH GEN Laptop,simple,True,unknown,3199,True,True,True,Mobile Tech & Gadgets > Laptops,
31408,E7480,Refurbished Dell E7480 INTEL CORE I7 7TH GEN Laptop,simple,True,unknown,3999,True,True,True,Mobile Tech & Gadgets > Laptops,
